Date,RELIANCE.NS,TCS.NS,INFY.NS
2021-04-07,908.15478515625,2875.812255859375,1259.0341796875
2021-04-08,909.288330078125,2916.205810546875,1267.5291748046875
2021-04-09,898.723388671875,2920.513916015625,1268.5855712890625
2021-04-12,866.5751342773438,2853.966796875,1255.1165771484375
2021-04-13,875.9384765625,2728.698974609375,1229.9395751953125
2021-04-15,881.6063232421875,2829.705078125,1197.89599609375
2021-04-16,876.0745239257812,2808.78271484375,1191.733642578125
2021-04-19,862.2902221679688,2779.465576171875,1199.480712890625
2021-04-20,862.0408935546875,2764.30126953125,1189.620849609375
2021-04-22,864.42138671875,2741.6650390625,1189.40087890625
2021-04-23,863.4918823242188,2733.48974609375,1174.171142578125
2021-04-26,878.6817016601562,2725.841796875,1182.754150390625
2021-04-27,901.716064453125,2753.26904296875,1187.1119384765625
2021-04-28,905.6382446289062,2746.32421875,1193.7144775390625
2021-04-29,917.767578125,2738.544677734375,1194.0224609375
2021-04-30,904.36865234375,2668.56982421875,1192.2618408203125
2021-05-03,888.2945556640625,2669.756591796875,1190.2373046875
2021-05-04,869.0463256835938,2680.96484375,1170.2977294921875
2021-05-05,870.6334228515625,2721.3583984375,1180.9495849609375
2021-05-06,875.57568359375,2735.2041015625,1198.6444091796875
2021-05-07,875.9158935546875,2754.059814453125,1190.6773681640625
2021-05-10,873.3992919921875,2765.13623046875,1179.23291015625
2021-05-11,876.5507202148438,2745.005615234375,1171.3983154296875
2021-05-12,867.4819946289062,2714.23828125,1168.18505859375
2021-05-14,878.4324340820312,2682.503173828125,1158.853515625
2021-05-17,888.8839721679688,2698.546630859375,1170.2977294921875
2021-05-18,901.398681640625,2715.292724609375,1179.629150390625
2021-05-19,905.5248413085938,2709.31494140625,1176.9884033203125
2021-05-20,900.2423706054688,2689.975830078125,1179.0128173828125
2021-05-21,908.018798828125,2707.99658203125,1192.3936767578125
2021-05-24,900.3557739257812,2708.87548828125,1186.716064453125
2021-05-25,890.153564453125,2750.8359375,1198.6444091796875
2021-05-26,893.2822265625,2790.14599609375,1230.0274658203125
2021-05-27,896.0255737304688,2809.13818359375,1234.4293212890625
2021-05-28,949.8478393554688,2776.984130859375,1236.894287109375
2021-05-31,979.5475463867188,2790.720458984375,1240.1864013671875
2021-06-01,983.4470825195312,2785.28759765625,1234.3580322265625
2021-06-02,998.1156005859375,2764.484130859375,1226.75
2021-06-03,1001.9243774414062,2774.907958984375,1236.5380859375
2021-06-04,993.2412109375,2777.116943359375,1232.9788818359375
2021-06-07,1009.9727783203125,2811.965576171875,1236.5380859375
2021-06-08,1004.1688842773438,2826.939208984375,1257.2708740234375
2021-06-09,986.2130126953125,2827.027587890625,1259.362060546875
2021-06-10,989.8404541015625,2841.6474609375,1267.370361328125
2021-06-11,1007.0098266601562,2891.99951171875,1287.480224609375
2021-06-14,1021.4566650390625,2894.252197265625,1300.7386474609375
2021-06-15,1023.7770385742188,2882.23828125,1311.5054931640625
2021-06-16,1006.3045043945312,2892.4853515625,1317.46728515625
2021-06-17,1008.1473999023438,2930.824462890625,1330.5474853515625
2021-06-18,1012.697509765625,2912.7587890625,1337.666259765625
2021-06-21,1017.9756469726562,2891.38134765625,1334.9967041015625
2021-06-22,1012.742919921875,2916.20361328125,1345.2740478515625
2021-06-23,1003.4608154296875,2881.045654296875,1337.53271484375
2021-06-24,979.868408203125,2980.160400390625,1387.406982421875
2021-06-25,957.5499877929688,2986.52099609375,1400.754150390625
2021-06-28,949.155029296875,2947.607666015625,1398.6187744140625
2021-06-29,949.97412109375,2951.22998046875,1390.8331298828125
2021-06-30,960.3712158203125,2955.55859375,1406.6273193359375
2021-07-01,954.5924682617188,2951.804443359375,1388.474853515625
2021-07-02,968.7432861328125,2937.62646484375,1395.0595703125
2021-07-05,978.3668212890625,2933.6953125,1404.98095703125
2021-07-06,966.8095703125,2881.840576171875,1390.07666015625
2021-07-07,960.0980834960938,2893.015380859375,1392.2120361328125
2021-07-08,952.1581420898438,2878.484375,1388.7861328125
2021-07-09,942.4208984375,2834.005859375,1390.699462890625
2021-07-12,948.2905883789062,2820.7109375,1377.3076171875
2021-07-13,955.3887939453125,2815.808837890625,1374.7271728515625
2021-07-14,949.155029296875,2839.659423828125,1403.15673828125
2021-07-15,947.4943237304688,2835.5869140625,1406.6273193359375
2021-07-16,961.1674194335938,2828.3720703125,1384.0701904296875
2021-07-19,955.0474853515625,2819.341796875,1371.835205078125
2021-07-20,952.7041625976562,2838.10986328125,1379.2652587890625
2021-07-22,964.9440307617188,2847.450439453125,1414.991455078125
2021-07-23,958.1188354492188,2844.351318359375,1415.2138671875
2021-07-26,944.9917602539062,2830.806640625,1427.181884765625
2021-07-27,935.0496826171875,2817.880859375,1425.9808349609375
2021-07-28,927.0187377929688,2831.028076171875,1428.6947021484375
